Time,"unix timestamp","Analogue 1 raw ADC counts","Humidity  calculated","Analogue 2 raw ADC counts","Brood temperature calculated","Temperature raw ADC counts","Monitor Temperature  calculated","Weight/Rain raw ADC counts","Weight in Kg (monitor)","Rain in mm (gateway)","Data type"
"2010-01-01 00:00:28",1262304028,1815,31.6491697,1055,35.018315455,929,24.864469249,38934,93.534744746,13237.56,i
"2016-08-04 16:38:31",1470328711,0,-23.15,0,-50,0,-50,0,-23.56,0,h
"2016-08-04 17:02:29",1470330149,1725,28.9318555,912,23.494505872,928,24.783883168,7491,-1.030675171,2546.94,h
"2016-08-05 06:08:34",1470377314,1775,30.4414745,881,20.996337361,875,20.512820875,9337,4.521204903,3174.58,h
"2016-08-05 06:32:50",1470378770,1775,30.4414745,881,20.996337361,875,20.512820875,9337,4.521204903,3174.58,h
"2016-08-05 07:37:37",1470382657,1758,29.92820404,898,22.366300738,887,21.479853847,10790,8.89113001,3668.6,h
"2016-08-05 08:03:34",1470384214,1758,29.92820404,898,22.366300738,887,21.479853847,10790,8.89113001,3668.6,h
"2016-08-05 08:33:14",1470385994,1764,30.10935832,908,23.172161548,902,22.688645062,9300,4.4099267,3162,h
"2016-08-05 09:02:37",1470387757,1764,30.10935832,908,23.172161548,902,22.688645062,9300,4.4099267,3162,h
"2016-08-05 09:26:10",1470389170,358,-12.34112796,277,-27.677655563,906,23.010989386,34253,79.456548307,11646.02,h
"2016-09-16 07:45:56",1474011956,2077,39.55957326,879,20.835165199,853,18.739927093,8972,3.423460468,3050.48,i
"2016-09-16 07:47:25",1474012045,2021,37.86879998,961,27.443223841,849,18.417582769,6331,-4.519397211,2152.54,h
"2016-09-16 08:23:55",1474014235,2021,37.86879998,961,27.443223841,849,18.417582769,6331,-4.519397211,2152.54,h
"2016-09-16 08:45:51",1474015551,2408,49.55325104,839,17.611721959,831,16.967033311,19933,36.388876227,6777.22,i
"2016-09-16 09:18:03",1474017483,2385,48.8588263,838,17.531135878,833,17.128205473,19923,36.358801037,6773.82,h
"2016-09-16 12:15:46",1474028146,1488,21.77626144,921,24.219780601,882,21.076923442,19826,36.067071694,6740.84,h
"2016-09-16 13:08:02",1474031282,1488,21.77626144,921,24.219780601,882,21.076923442,19826,36.067071694,6740.84,h
"2016-09-16 16:39:21",1474043961,2957,66.12886766,828,16.725275068,833,17.128205473,19856,36.157297264,6751.04,h
"2016-09-16 19:07:10",1474052830,2957,66.12886766,828,16.725275068,833,17.128205473,19856,36.157297264,6751.04,h
"2016-09-16 20:12:57",1474056777,775,0.2490945,810,15.27472561,796,14.146520476,19927,36.370831113,6775.18,h
